,Column,Min Value,id_1,id_2,,Target,id_1 (Database),id_2,Loss,Conflict Resolution Note,,,,
37,LOSS_19_def1,1.586525009,Susceptible_hab_FINAL.db,40,,,,15_def3,6.3457,0.919833318,,,,
38,LOSS_19_def1,2.03331967,Control_hab_FINAL.db,2,,,,16_def1,2.348,0.559523607,,,,
39,LOSS_19_def3,22.42821653,Resilient_def.db,42,,,,16_def3,1.0974,0.382517973,,,,
40,LOSS_19_def3,24.98722646,Resilient_def.db,28,,,,17_def1,2.2025,0.541910202,,,,
41,LOSS_19_def3,25.89186241,Resilient_def.db,57,,,,17_def3,2.1103,0.530446353,,,,
42,LOSS_20_def1,1.802556998,Susceptible_hab_FINAL.db,5,,,,18_def1,7.4037,0.993559258,,,,
43,LOSS_20_def1,1.967914914,Resilient_hab_FAIL.db,58,,,,18_def3,6.381,0.922388205,,,,
44,LOSS_20_def1,2.227336357,Susceptible_hab_FINAL.db,86,,,,20_def1,1.8026,0.490251636,,,,
45,LOSS_20_def3,1.276827096,Susceptible_hab_FINAL.db,24,,,,20_def3,1.2768,0.412601503,,,,
46,LOSS_20_def3,1.575515646,Susceptible_hab_FINAL.db,49,,,,21_def1,1.8741,0.499879986,,,,
47,LOSS_20_def3,2.4108774,Susceptible_hab_FINAL.db,74,,,,21_def3,2.3349,0.557960572,,,,
48,LOSS_21_def1,1.874086448,Resilient_hab.db,20,,,,22_def1,2.1188,0.531513562,,,,
49,LOSS_21_def1,2.88908738,Control_hab_FINAL.db,0,,,,22_def3,3.0018,0.63264524,,,,
50,LOSS_21_def1,3.133167102,Resilient_hab_FAIL.db,75,,,,23_def1,2.8364,0.614968834,,,,
51,LOSS_21_def3,2.33487232,Susceptible_hab_FINAL.db,22,,,,23_def3,5.9997,0.89440483,,,,
52,LOSS_21_def3,2.857359865,Susceptible_hab_FINAL.db,86,,,,24_def1,2.7163,0.601808386,,,,
53,LOSS_21_def3,2.953789809,Susceptible_hab_FINAL.db,5,,,,24_def3,6.558,0.935093578,,,,
54,LOSS_22_def1,2.076777292,Resilient_hab_FAIL.db,18,,,,25_def1,1.6646,0.471112159,,,,
55,LOSS_22_def1,2.10222659,Control_hab_FINAL.db,34,,,,25_def3,0.9424,0.354476139,,,,
56,LOSS_22_def1,2.118751463,Control_hab_FINAL.db,62,,,,26_def1,7.7945,1.019444293,,,,
57,LOSS_22_def3,2.341891152,Resilient_hab_FAIL.db,18,,,,26_def3,3.6624,0.69879897,,,,
58,LOSS_22_def3,2.925100076,Control_hab_FINAL.db,34,,,,,,,,,,
59,LOSS_22_def3,3.001847751,Resilient_hab_FAIL.db,25,,,,,,,,,,
60,LOSS_23_def1,1.90321346,Resilient_hab_FAIL.db,75,,,,,,,,,,
61,LOSS_23_def1,2.738391014,Resilient_hab_FAIL.db,18,,,,,,,,,,
62,LOSS_23_def1,2.836438124,Resilient_hab_FAIL.db,58,,,,,,,,,,
63,LOSS_23_def3,5.054143765,Resilient_hab_FAIL.db,75,,,,,,,,,,
64,LOSS_23_def3,5.999703335,Resilient_hab.db,17,,,,,,,,,,
65,LOSS_23_def3,6.584698873,Resilient_hab.db,31,,,,,,,,,,
66,LOSS_24_def1,2.030880234,Control_hab_FINAL.db,27,,,,,,,,,,
67,LOSS_24_def1,2.716344025,calibration.db,33,,,,,,,,,,
68,LOSS_24_def1,3.17061582,Resilient_hab_FAIL.db,78,,,,,,,,,,
69,LOSS_24_def3,6.558015054,Resilient_def.db,77,,,,,,,,,,
70,LOSS_24_def3,6.881837639,Resilient_hab.db,51,,,,,,,,,,
71,LOSS_24_def3,7.235411273,Resilient_def.db,42,,,,,,,,,,
72,LOSS_25_def1,1.199056409,Resilient_hab_FAIL.db,78,,,,,,,,,,
73,LOSS_25_def1,1.318525877,calibration.db,33,,,,,,,,,,
74,LOSS_25_def1,1.664639188,Control_hab_FINAL.db,51,,,,,,,,,,
75,LOSS_25_def3,0.942398394,Control_hab_FINAL.db,27,,,,,,,,,,
76,LOSS_25_def3,1.156438439,Resilient_hab_FAIL.db,78,,,,,,,,,,
77,LOSS_25_def3,1.561378302,calibration.db,33,,,,,,,,,,
78,LOSS_26_def1,5.993961667,Resilient_hab_FAIL.db,75,,,,,,,,,,
79,LOSS_26_def1,7.185710034,Resilient_hab.db,20,,,,,,,,,,
80,LOSS_26_def1,7.794490532,Resilient_hab_FAIL.db,84,,,,,,,,,,
81,LOSS_26_def3,3.662427001,Resilient_def.db,26,,,,,,,,,,
82,LOSS_26_def3,4.078840206,Resilient_def.db,44,,,,,,,,,,
83,LOSS_26_def3,4.11989763,Resilient_hab.db,49,,,,,,,,,,
